SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",Refer to State level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify),fire break maintenance,Adverse management fire (specify),fire break maintenance,,,,,QTP iii) Quantifying threatening processes – species,determine if Pc dieback susceptible,,,CP ix) Other management plan (specify),Wheatbelt prioritisation process,,,MI xi) Regulation - environmental impact assessment,,,,South West Region: area subject to mining and utilities,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,gravel extraction,Mining ,gravel extraction,,,,,SC ii) Phylogeography & genetic variation/structuring ,genetic structuring between populations,,,CP i) Threatened taxa recovery plan (specify),Requires IRP,,,MI x) Regulation - Native vegetation clearing/pollution,,,,EPBC conservation advice 2008,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,clearing for pipeline and water pipe maintenance,Utilities,clearing for pipeline and water pipe maintenance,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),veldt grass,Weeds (specify dominant spp),veldt grass,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, landholders, Main Roads, LGAs and utilities",,,,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),grazing by kangaroos,Problem native spp. (specify),grazing by kangaroos,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing & trampling by stock,Livestock farming (specify),grazing & trampling by stock,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",lack of germination,"Fire regime (intensity, frequency, seasonality, scale)",lack of germination,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,forestry operations,,,,,,,,,,,,,,,,,,,,,
JAF02,Southwest,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02, JAF01, JAF02",,,,,,1,0,Refer to State level,Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data published or publically available but not peer reviewed,"South West Region: 1  biological pop, trend static. TPFL 2. ",74,< 250 (sub-region),Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative unpublished data and expert opinion,"South West Region: accept TPFL count, trend declining. ",Refer to State level,Refer to State level,-,Static (no change),Refer to State level. South West Region: trend static. S&C: 61904ha.,Not available at subregional level,Not available at subregional level,-,Static (no change),EPBC conservation advice 2008: 0.03km2 for all pops. South West Region: trend static.,,Highly restricted,Quantitative analysis of data published or publically available but not peer reviewed,Static,"South West Region: highly restricted. EPBC conservation advice 2008: brown to red gravelly loam over laterite, on slight slopes in low woodland areas. ",2012,,,South West Region: past pressures and future threats. ,Endangered,Endangered,,"C2a(i); B1ab(iii,v)+2ab(iii,v)","Fire regime (intensity, frequency, seasonality, scale)",lack of germination,Utilities,clearing for pipeline and water pipe maintenance,None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection & germination trials,MI xiii) Education and awareness (specify),install/maintain DRF markers,"JM: management requirements from South West Region, with those related to EIA/clearing permits/DRF markers and IRP added from other similar taxa. ",,,,
JAF02,Southwest,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02, JAF01, JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,road maintenance,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,South West Region: area subject to mining and utilities,,,,
JAF02,Southwest,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02, JAF01, JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",lack of germination,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,EPBC conservation advice 2008,,,,
JAF02,Southwest,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02, JAF01, JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
JAF02,Southwest,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02, JAF01, JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, landholders, Main Roads, LGAs and utilities",,,,,,,
JAF02,Southwest,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",Refer to State level,,,,,1,0,Refer to State level,Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"JM: count Pop 4 West Arthur; this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown. ",9,< 10 (sub-region),Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"JM: TPFL count, this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown. ",Refer to State level,Refer to State level,-,Unknown,Refer to State level. South West Region: trend static. S&C: 90407ha.,Not available at subregional level,Not available at subregional level,-,Unknown,"EPBC conservation advice 2008: 0.03km2 for all pops. JM: this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown. ",,Highly restricted,Quantitative analysis of data published or publically available but not peer reviewed,Static,"South West Region: highly restricted. EPBC conservation advice 2008: brown to red gravelly loam over laterite, on slight slopes in low woodland areas. ",2001,,,South West Region & EPBC conservation advice 2008: past pressures and future threats. ,Endangered,Endangered,,"C2a(i); B1ab(iii,v)+2ab(iii,v)",Roads & rail,road maintenance,Roads & rail,road maintenance,None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection & germination trials,MI xiii) Education and awareness (specify),install/maintain DRF markers,"JM: management requirements from South West Region, with those related to EIA/clearing permits/DRF markers and IRP added from other similar taxa. ",,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JM: this taxon was not discussed with Great Southern Dist (sorry), past pressures and future threats are from EPBC conservation advice 2008, PLEASE CHECK. ",,,,,Adverse management fire (specify),fire break maintenance,Adverse management fire (specify),fire break maintenance,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,South West Region: area subject to mining and utilities,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,gravel extraction,Mining ,gravel extraction,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,EPBC conservation advice 2008,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,clearing for pipeline and water pipe maintenance,Utilities,clearing for pipeline and water pipe maintenance,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),veldt grass,Weeds (specify dominant spp),veldt grass,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, landholders, Main Roads, LGAs and utilities",,,,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),grazing by kangaroos,Problem native spp. (specify),grazing by kangaroos,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing & trampling by stock,Livestock farming (specify),grazing & trampling by stock,,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",lack of germination,"Fire regime (intensity, frequency, seasonality, scale)",lack of germination,,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,forestry operations,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",Refer to State level,,,,,3,0,Refer to State level,Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"JM: count Pops 1, 3 & 5 Woodanilling, this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown. ",101,< 250 (sub-region),Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"JM: TPFL count, this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown. ",Refer to State level,Refer to State level,-,Unknown,Refer to State level. South West Region: trend static. S&C: 10172ha.,Not available at subregional level,Not available at subregional level,-,Unknown,"EPBC conservation advice 2008: 0.03km2 for all pops. JM: this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown. ",,Highly restricted,Quantitative analysis of data published or publically available but not peer reviewed,Static,"South West Region: highly restricted. EPBC conservation advice 2008: brown to red gravelly loam over laterite, on slight slopes in low woodland areas. ",2004,,,South West Region & EPBC conservation advice 2008: past pressures and future threats. ,Endangered,Endangered,,"C2a(i); B1ab(iii,v)+2ab(iii,v)",Roads & rail,road maintenance,Roads & rail,road maintenance,None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection & germination trials,MI xiii) Education and awareness (specify),install/maintain DRF markers,"JM: management requirements from South West Region, with those related to EIA/clearing permits/DRF markers and IRP added from other similar taxa. ",,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02, JAF01, JAF02",,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,"JM: this taxon was not discussed with Great Southern Dist (sorry), past pressures and future threats are from EPBC conservation advice 2008, PLEASE CHECK. ",,,,,Adverse management fire (specify),fire break maintenance,Adverse management fire (specify),fire break maintenance,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,South West Region: area subject to mining and utilities,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,gravel extraction,Mining ,gravel extraction,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,EPBC conservation advice 2008,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,clearing for pipeline and water pipe maintenance,Utilities,clearing for pipeline and water pipe maintenance,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),veldt grass,Weeds (specify dominant spp),veldt grass,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, landholders, Main Roads, LGAs and utilities",,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),grazing by kangaroos,Problem native spp. (specify),grazing by kangaroos,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing & trampling by stock,Livestock farming (specify),grazing & trampling by stock,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",lack of germination,"Fire regime (intensity, frequency, seasonality, scale)",lack of germination,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02,JAF01,JAF02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,forestry operations,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Sch1: Extant taxa (Rare flora),Kennedia glabrata,Northcliffe Kennedia,JAF02 WAR01,1,Expert opinion,Static,Expert opinion,Warren Region,23,0,> 20 (does not meet IUCN location/subpopulation criteria),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"Warren Region: count as per subregions below, increase due to survey. TPFL 13","2,127","< 2,500 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Large fluctuations,Quantitative analysis of data not publically available,"Warren Region: count as per subregions below, number of mature individuals fluctuates (fire responder). TPFL 162. ","236,531","< 500,000ha (potentially meets extent of occurrence criteria EN)",Minimum convex polygon (state detail):,Increased (new knowledge - biological survey),"Warren Region: calc to include new pops, increase due to survey in WAR01. ",39.0,< 100ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Increased (new knowledge - biological survey),"Warren Region: count as per supregions below, increasing due to survey (WAR01). ",,Highly restricted,Expert opinion,Static,Warren Region: granite,2013,,,"Warren Region: past pressures, future threats",Vulnerable,Vulnerable,,D1,Fire frequency,fire too infrequent,Fire frequency,fire too infrequent,None,,,Currently threatened taxa but likely priority or not threatened,Au v) Reproductive biology & breeding system,determine seed longevity,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene protocols,,,Warren Region: management requirements,,,,
Western Australia,Warren,Sch1: Extant taxa (Rare flora),Kennedia glabrata,Northcliffe Kennedia,JAF02 WAR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,,Fire seasonality ,,,,,,IN v) Threatened & priority flora locations (individual species),targetted survey of granite outcrops post burn,,,,,MD xii) Manage access,"Manage access for recreational use, bushwalking, infrastructure, etc",,,,,EPBC conservation advice 2008,,,,
Western Australia,Warren,Sch1: Extant taxa (Rare flora),Kennedia glabrata,Northcliffe Kennedia,JAF02 WAR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (drought) ,,Climate change (drought) ,,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,"review of existing information, known habitat and fire response and may be more widespread than previously thought",,,,,,,,,,,FMG 2011,,,,
